N_unmapped	403533	403533	403533
N_multimapping	2655451	2655451	2655451
N_noFeature	2659067	24249139	3140648
N_ambiguous	4662711	34914	482007
lnc1	0	0	0
lnc10	0	0	0
lnc1000	1	0	1
lnc10000	0	0	0
lnc10001	0	0	0
lnc10002	0	66	0
lnc10003	0	0	0
lnc10004	1	0	1
lnc10005	7	0	10
lnc10006	3	1	2
lnc10007	5	0	5
lnc10008	1	0	1
lnc10009	7	2	6
lnc1001	0	2	0
lnc10010	0	0	0
lnc10011	2	1	1
lnc10012	0	0	0
lnc10013	85	2	124
lnc10015	0	0	0
lnc10016	0	0	0
lnc10017	5	0	5
lnc10018	525	1161	9
lnc10019	1	0	1
lnc1002	0	0	0
lnc10020	0	0	0
lnc10022	0	0	0
lnc10024	0	0	0
lnc10025	0	0	0
lnc10026	0	0	0
lnc10027	0	0	0
lnc10028	0	0	0
lnc10029	5	0	5
lnc1003	1	1	0
lnc10030	52	0	95
lnc10031	1	22	1
lnc10032	1	0	1
lnc10034	44	249	2
lnc10035	1	1	0
lnc10036	1	0	1
lnc10038	0	0	0
lnc10039	19	81	1
lnc1004	0	0	0
lnc10040	0	0	0
lnc10041	0	1	0
lnc10042	1	8	1
lnc10043	83	471	0
lnc10044	2	0	2
lnc10045	2	0	2
lnc10046	0	0	0
lnc10047	11	9	12
lnc10048	0	34	0
lnc10049	1	12	0
lnc1005	0	0	0
lnc10050	5	5	1
lnc10051	0	0	1
lnc10052	24	2	22
lnc10053	323	1665	13
lnc10054	0	0	0
lnc10055	81	64	26
lnc10056	0	15	20
lnc10058	1	0	3
lnc10059	3	0	6
lnc1006	3	1	2
lnc10060	1	0	1
lnc10061	1	0	2
lnc10062	0	0	0
lnc10063	0	3	0
lnc10064	1	2	0
lnc10065	4	11	0
lnc10066	241	1003	7
lnc10067	16	179	0
lnc10068	1	0	1
lnc10069	1	2	2
lnc1007	1	0	1
lnc10070	0	3	0
lnc10071	0	0	0
lnc10072	2	0	2
lnc10073	8	1	7
lnc10074	0	0	0
lnc10075	3334	7373	16
lnc10076	0	0	0
lnc10077	0	0	0
lnc1008	0	0	0
lnc10081	0	0	0
lnc10082	0	0	0
lnc10084	5	5	5
lnc10085	0	0	0
lnc10086	0	0	0
lnc10087	1	1	4
lnc10088	0	4	0
lnc10089	2	40	0
lnc1009	7	10	1
lnc10090	40	43	1
lnc10092	6	104	0
lnc10093	0	0	0
lnc10094	0	0	0
lnc10095	0	0	0
lnc10096	0	0	0
lnc10097	0	0	0
lnc10098	0	0	0
